date,Astrology,Horoscope,Fortune telling,Psychic,Tarot reading,Numerology,Palm reading,Clairvoyant,Crystal ball,Magic spells,Occult,Spiritual healing,Witchcraft,Mediumship,Superstition
2015-06-21,66,70,0,58,77,55,46,28,47,0,75,0,37,0,48
2015-06-28,88,73,0,60,78,55,49,20,56,61,70,60,32,0,61
2015-07-05,78,70,25,56,75,67,34,20,64,98,78,0,38,0,57
2015-07-12,67,69,0,61,80,56,50,24,71,53,80,0,37,0,56
2015-07-19,68,65,0,60,84,53,43,31,56,49,90,0,39,0,67
2015-07-26,88,73,0,65,88,53,45,22,50,88,76,61,38,0,70
2015-08-02,81,72,24,67,81,58,36,24,62,74,78,0,51,0,41
2015-08-09,75,76,0,64,76,48,37,13,67,56,74,0,43,0,51
2015-08-16,68,74,0,62,90,49,42,21,46,91,63,0,32,0,66
2015-08-23,76,73,0,61,88,56,30,20,56,100,80,68,44,0,56
2015-08-30,90,80,0,62,76,58,37,16,28,60,76,0,40,0,55
2015-09-06,68,70,21,65,78,55,48,15,82,65,81,0,40,99,68
2015-09-13,74,72,36,66,77,56,38,17,84,63,81,0,39,0,59
2015-09-20,75,72,35,60,80,51,35,29,43,75,73,0,47,0,75
2015-09-27,91,84,0,58,80,56,38,20,68,66,64,59,59,100,84
2015-10-04,67,76,22,56,72,51,37,27,60,77,65,56,41,0,49
2015-10-11,64,71,0,61,74,55,39,26,62,80,70,0,57,0,73
2015-10-18,61,68,23,53,68,49,45,22,64,69,78,52,59,0,80
2015-10-25,61,76,21,69,74,49,19,29,92,55,94,52,66,0,79
2015-11-01,89,76,0,62,72,64,43,22,46,61,83,61,50,0,71
2015-11-08,63,73,0,68,74,53,59,22,67,50,75,72,56,0,91
2015-11-15,60,71,100,59,71,49,43,18,78,71,66,0,57,0,59
2015-11-22,64,65,0,55,79,47,31,15,100,62,72,0,60,0,71
2015-11-29,85,72,24,58,84,48,32,15,64,63,79,0,48,0,66
2015-12-06,70,72,0,48,75,56,41,28,52,54,79,66,48,0,50
2015-12-13,73,70,28,49,88,66,40,20,72,56,69,0,58,0,71
2015-12-20,71,68,0,54,73,64,100,22,60,51,65,0,48,0,72
2015-12-27,100,100,0,81,100,96,78,35,87,85,61,0,46,0,71
2016-01-03,85,82,0,81,76,60,70,23,56,62,68,0,45,0,67
2016-01-10,76,67,0,72,71,69,53,16,71,69,67,0,54,0,60
2016-01-17,74,68,0,62,71,68,59,51,67,97,80,0,39,0,76
2016-01-24,65,65,0,64,63,63,34,33,54,62,86,0,49,0,62
2016-01-31,86,74,0,65,74,59,47,17,94,78,79,0,44,0,73
2016-02-07,68,77,19,62,63,63,48,25,64,63,73,0,48,0,76
2016-02-14,65,61,19,68,68,59,60,20,40,58,80,0,57,0,75
2016-02-21,65,64,0,70,73,56,55,29,57,72,71,0,62,0,69
2016-02-28,72,68,0,70,66,55,31,18,57,50,70,0,52,0,56
2016-03-06,61,66,0,71,58,46,40,22,53,66,73,0,44,0,78
2016-03-13,60,62,0,74,66,53,39,24,70,74,86,0,45,0,71
2016-03-20,59,63,19,68,73,57,43,22,60,56,91,0,54,0,51
2016-03-27,73,58,27,72,67,55,29,21,48,95,81,63,64,0,71
2016-04-03,59,64,0,60,65,57,36,17,41,77,73,0,52,0,66
2016-04-10,59,63,0,65,60,55,47,24,38,84,73,0,54,0,69
2016-04-17,61,61,0,65,54,53,43,20,76,60,87,0,45,0,55
2016-04-24,56,63,0,64,66,59,44,23,78,98,69,61,40,0,72
2016-05-01,65,62,0,63,63,45,28,19,61,71,74,0,51,0,53
2016-05-08,65,64,29,66,61,60,28,24,80,63,85,0,31,0,97
2016-05-15,62,59,19,62,67,52,40,20,65,59,75,0,44,0,63
2016-05-22,63,61,0,62,64,58,50,35,47,44,70,0,45,0,53
2016-05-29,66,62,0,66,72,56,38,67,47,41,60,0,44,0,64
2016-06-05,59,62,0,60,54,52,46,41,46,83,94,0,41,0,62
2016-06-12,60,61,0,56,57,53,25,38,54,51,86,0,44,0,68
2016-06-19,58,62,0,64,61,55,43,0,61,76,71,0,33,0,55
2016-06-26,68,60,21,60,60,55,39,22,78,57,71,58,46,0,43
2016-07-03,69,62,0,58,63,55,28,20,64,61,69,0,32,0,46
2016-07-10,58,63,20,78,60,58,38,24,62,66,65,0,31,0,49
2016-07-17,58,67,0,100,49,65,41,48,53,44,74,0,43,0,45
2016-07-24,61,60,0,91,65,56,32,33,59,50,75,0,37,0,71
2016-07-31,69,61,0,81,60,57,54,69,54,69,74,0,39,0,70
2016-08-07,59,62,0,78,71,54,26,27,54,51,52,0,42,0,63
2016-08-14,64,70,0,71,65,45,31,32,90,74,72,0,39,0,35
2016-08-21,62,62,0,74,75,56,38,29,65,60,63,0,43,0,61
2016-08-28,81,72,0,63,66,64,29,27,50,50,60,0,40,0,59
2016-09-04,66,61,0,72,64,66,30,66,64,63,82,0,41,0,59
2016-09-11,65,65,0,63,65,48,36,100,68,72,69,0,48,0,65
2016-09-18,80,82,0,68,55,68,54,33,63,0,62,0,54,0,52
2016-09-25,82,76,0,82,58,51,40,18,57,91,69,0,46,0,62
2016-10-02,70,68,0,60,59,52,42,29,73,61,75,0,52,0,49
2016-10-09,67,61,0,64,63,54,23,16,71,44,75,100,49,0,69
2016-10-16,61,60,0,67,63,55,38,40,77,57,83,0,48,0,79
2016-10-23,56,59,0,68,40,55,28,25,85,84,100,0,45,0,73
2016-10-30,66,65,0,64,67,50,44,26,90,57,90,0,53,0,64
2016-11-06,59,54,0,81,60,65,41,25,83,59,87,54,43,0,63
2016-11-13,57,57,0,63,58,58,25,29,97,71,81,0,50,0,68
2016-11-20,55,58,0,67,54,57,26,24,68,50,63,0,38,0,66
2016-11-27,73,63,0,58,65,57,26,28,66,42,84,0,55,0,56
2016-12-04,59,59,0,61,67,66,33,14,65,54,82,0,50,0,67
2016-12-11,59,58,0,51,48,51,21,27,75,78,88,58,53,0,58
2016-12-18,59,63,0,62,58,55,30,22,57,71,67,0,47,0,61
2016-12-25,68,76,0,74,58,83,31,24,61,82,82,0,51,0,75
2017-01-01,81,95,20,81,64,100,46,26,75,73,72,83,51,0,73
2017-01-08,62,67,19,60,57,70,24,21,67,85,80,57,51,0,100
2017-01-15,63,65,18,69,66,69,33,16,63,38,62,0,40,0,66
2017-01-22,70,69,19,62,65,65,53,24,56,63,78,0,44,0,65
2017-01-29,78,71,0,59,59,57,39,16,63,45,64,0,45,0,78
2017-02-05,69,65,0,61,58,49,32,24,79,67,86,0,48,0,69
2017-02-12,57,62,0,53,59,60,52,21,68,42,87,57,36,0,73
2017-02-19,61,62,0,61,61,51,37,26,63,62,75,52,42,0,67
2017-02-26,64,58,24,62,57,57,38,22,47,0,90,0,48,0,52
2017-03-05,58,62,23,63,58,54,42,19,50,58,77,57,43,0,62
2017-03-12,54,56,0,55,54,59,28,0,53,71,85,69,50,0,60
2017-03-19,56,60,0,61,50,54,31,26,45,67,68,53,44,0,66
2017-03-26,58,61,0,56,44,53,42,21,63,66,71,51,100,0,66
2017-04-02,56,58,0,62,52,56,41,17,66,79,80,48,52,0,83
2017-04-09,60,59,25,61,48,53,47,23,63,59,67,0,49,0,79
2017-04-16,55,59,0,58,49,53,40,18,64,65,63,0,44,0,72
2017-04-23,53,59,0,66,53,53,42,15,62,58,80,55,39,0,45
2017-04-30,57,64,0,61,56,60,35,20,58,50,79,62,41,0,68
2017-05-07,53,59,0,59,57,59,40,27,78,71,74,0,41,0,53
2017-05-14,49,57,0,60,59,60,26,17,65,37,74,0,36,0,64
2017-05-21,48,59,21,59,59,56,36,18,44,72,89,0,38,0,56
2017-05-28,64,60,0,53,69,64,22,13,79,73,88,0,40,0,63
2017-06-04,63,60,0,57,56,55,39,17,61,0,77,0,70,0,63
2017-06-11,57,58,0,55,62,57,36,25,52,59,74,0,46,0,69
2017-06-18,59,60,0,57,56,49,29,21,57,52,81,72,44,0,54
